name,distance,climb,male,female
Alex Brett,14,660,66.25,89.78
Aonach Mor Uphill,4,610,30.90,39.05
Beinn Dubh,6.5,620,36.10,42.15
Beinn Ratha,10.8,240,52.17,63.63
Ben Gukkipen HIll,13.5,350,49.97,56.70
Ben Lomond Hill,12.6,960,70.72,91.62
Ben Sheann Hill,3.4,380,26.77,33.18
Birnam HIll,6.6,360,30.88,40.03
Bishop HIll,3.5,300,19.65,23.93
Carnethy HIll 5,9.1,750,54.13,61.50
Chapelgill HIll,2.6,410,20.47,25.27
Clachnaben HIll,13.6,690,66.38,79.53
Cort-ma Law,10,470,47.75,56.47
Craig Dunain HIll,9,270,36.90,44.35
Criffel Hill,10.5,550,55.85,71.27
Dess Woods,8,200,36.00,41.40
Deuchary Hill Canter,19.3,700,81.07,99.25
Dumyat HIll,7.8,440,34.58,41.22
Durisdeer Hill,14.7,1240,108.75,116.57
El-Brim-Ick Dash,4.8,230,23.07,25.83
Feel the Burns,21.4,800,98.52,124.20
Fyrish Hill,13,670,36.52,47.00
Glas Tulaichean Uphill,7.2,670,36.52,47.00
Goatfell,15.5,870,81.57,96.00
Greenmantle Dash,3.3,200,15.95,21.62
Gypsy Glen HIll,8,305,31.07,38.03
Hunters Bog Trot,6.5,240,27.28,32.88
Inveraray Jail Break,6.7,230,26.30,32.22
Isle of Jura Fell,28,2370,189.88,221.00
Kaim HIll,5.5,380,28.68,34.57
Kilpatricks Hill,10.2,426,43.93,51.08
Kinnoull Hill,6.4,240,24.63,29.47
Newtyle HIlle,7.3,300,30.13,40.48
Normans Law,8,215,30.38,34.87
Pressendye Hill,9.5,450,39.52,46.73
Red Moss Kips,10.5,350,41.03,50.77
Saugh HIll,4.5,265,24.82,25.32
Scolty Hill,7.2,396,35.18,40.32
Screel Hill,6.4,400,31.47,44.60
Slioch Horseshoe,20,1180,120.20,143.65
Stuc a 'Chroin Hill,22,1500,145.40,180.23
The Brack,7,700,55.27,66.45
Traprain Law,9.7,190,37.68,44.93
Whangie Whizz,7,250,30.72,35.37
